year,temperature_2m,relative_humidity_2m,precipitation,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1980,2.465967213114754,66.97299453551913,0.04199681238615664,7.256170309653916,7.129462659380692,0.3839751821493625,0.36945673952641167
1981,4.8192657534246575,66.53718356164384,0.03764840182648402,7.5420205479452065,7.413264840182648,0.3862336757990868,0.36305365296803654
1982,4.198334246575342,67.56534794520549,0.0482648401826484,7.3408561643835615,7.042728310502284,0.3942162100456621,0.36779931506849317
1983,5.336876712328767,69.1452493150685,0.048105022831050226,7.7282534246575345,7.579360730593607,0.39598915525114153,0.375827397260274
1984,2.907387978142076,65.0119344262295,0.04020947176684882,7.548212659380692,7.412568306010929,0.3875861794171221,0.3751844262295082
1985,2.584876712328767,67.90768219178082,0.05452054794520548,6.430525114155252,6.281700913242009,0.39618367579908675,0.3881833333333333
1986,2.646849315068493,68.21865205479452,0.052077625570776255,6.4545662100456624,6.379977168949772,0.39285616438356163,0.37724977168949775
1987,2.4806246575342468,70.73652602739726,0.0667579908675799,5.962557077625571,5.81142694063927,0.4202890410958904,0.4103440639269406
1988,4.210251366120219,66.06866666666667,0.0385132058287796,7.530077413479052,7.09606102003643,0.3905479280510018,0.3694318078324226
1989,4.455813698630137,66.87844383561644,0.04506849315068493,7.829817351598173,7.650833333333334,0.37783333333333335,0.36271632420091326
1990,4.609282191780822,68.43743561643835,0.05611872146118722,7.020011415525114,7.022134703196347,0.4151382420091324,0.4018466894977169
1991,4.580427397260274,63.238684931506846,0.026027397260273973,8.517933789954338,8.119634703196347,0.35182796803652966,0.3420336757990868
1992,2.86103825136612,69.66537704918032,0.05204918032786885,6.7968010018214935,6.7686589253187615,0.37396072404371583,0.36592258652094717
1993,2.031682191780822,70.11305205479452,0.05143835616438357,6.487659817351599,6.466244292237444,0.40418025114155254,0.3962611872146119
1994,2.6424109589041094,67.86408767123288,0.05111872146118722,6.698287671232877,6.528972602739726,0.3932801369863014,0.38167545662100455
1995,5.743057534246575,62.432515068493146,0.0325,8.660353881278539,8.452945205479452,0.3630939497716895,0.34120662100456617
1996,2.2347540983606557,65.36028415300547,0.03683970856102004,6.6625000000000005,6.603096539162113,0.3665620446265938,0.3430618169398907
1997,4.304087671232877,64.61070684931506,0.04208904109589041,7.121632420091324,6.9104680365296804,0.3802890410958904,0.3547470319634703
1998,4.330750684931506,61.11081643835616,0.03141552511415525,7.681050228310502,7.313059360730594,0.3702558219178082,0.3498495433789955
1999,3.5517808219178084,69.54356164383562,0.057648401826484015,6.1726826484018265,6.049828767123287,0.4145700913242009,0.39924246575342465
2000,4.067311475409836,68.21975956284153,0.044831511839708564,6.272791438979963,5.9780851548269585,0.40483788706739526,0.37983697632058283
2001,3.821884931506849,68.37641643835617,0.05568493150684932,6.263801369863014,6.109041095890411,0.409075799086758,0.3932530821917808
2002,4.181610958904109,68.4512,0.051278538812785386,6.561552511415525,6.169691780821918,0.4120456621004566,0.3972381278538813
2003,3.9688000000000003,69.09265753424657,0.04720319634703196,7.159018264840182,7.052351598173516,0.3982310502283105,0.3904655251141553
2004,5.362262295081967,64.38449180327869,0.033595173041894355,8.181477686703097,7.890163934426229,0.3722021857923497,0.3584631147540983
2005,4.214027397260274,69.85202191780822,0.0416324200913242,7.215730593607306,7.131643835616438,0.3857658675799087,0.37138732876712327
2006,4.3183780821917805,65.06945753424658,0.044726027397260275,6.840981735159818,6.519771689497716,0.3850130136986301,0.35858892694063926
2007,4.727550684931507,67.62832876712329,0.03875570776255708,7.803173515981736,7.607294520547945,0.3833345890410959,0.3627083333333333
2008,5.318612021857924,64.78346448087431,0.034232695810564664,7.886771402550091,7.7247040072859745,0.3683168260473588,0.3468132969034608
2009,4.161928767123287,63.67678904109589,0.04106164383561644,6.691095890410959,6.422454337899543,0.36924463470319635,0.34951495433789953
2010,4.232646575342466,60.57206575342465,0.035627853881278544,8.62857305936073,8.304212328767123,0.35478561643835616,0.34251849315068494
2011,2.9259287671232874,68.1451287671233,0.04980593607305936,7.3931506849315065,7.235536529680366,0.38926267123287667,0.3761022831050228
2012,4.701158469945355,62.93460109289617,0.03615664845173042,9.161543715846994,8.862158469945355,0.3587065118397086,0.34811395719489985
2013,4.983287671232877,67.69441095890411,0.056792237442922375,8.306849315068494,8.24148401826484,0.3841961187214612,0.37860068493150684
2014,3.950991780821918,65.17837808219177,0.042317351598173514,7.678276255707762,7.632773972602741,0.3842313926940639,0.3753973744292238
2015,4.564865753424658,66.85037808219178,0.04665525114155251,7.5341210045662095,7.276917808219179,0.39234942922374433,0.3767861872146119
2016,3.9401967213114757,68.55462295081968,0.05792349726775956,7.46115664845173,7.433765938069216,0.40213877504553736,0.39227789162112936
2017,3.9831123287671235,67.26819726027398,0.042385844748858446,5.35068493150685,5.343036529680365,0.3837432648401826,0.3582808219178082
2018,2.9037041095890412,65.45591232876711,0.04351598173515982,3.3884246575342463,3.2186415525114156,0.3737972602739726,0.3416672374429224
2019,4.5488328767123285,62.98595068493151,0.04187214611872146,6.0825799086757995,5.5540525114155255,0.3514255707762557,0.32825650684931507
2020,5.683879781420765,65.84469945355191,0.05066029143897997,7.030578324225865,6.8089822404371585,0.3708910519125683,0.35784824681238614
2021,4.605282191780821,62.03179178082191,0.034029680365296806,6.798436073059361,6.337488584474886,0.3693255707762557,0.337738698630137
2022,4.183758904109589,65.86112876712329,0.044840182648401825,6.169954337899544,5.79195205479452,0.3933164383561644,0.35206301369863013
