year,temperature_2m,relative_humidity_2m,precipitation,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1980,8.76743169398907,56.74586885245902,0.019319216757741346,12.523998178506375,12.333173952641166,0.23676548269581058,0.22388126138433517
1981,10.19228493150685,57.56596164383562,0.021278538812785387,11.867534246575342,11.745433789954339,0.2563630136986301,0.24046335616438355
1982,9.296449315068493,55.90106301369863,0.014292237442922375,11.830833333333334,11.524988584474885,0.23268995433789955,0.20565045662100456
1983,11.5248,55.83060821917808,0.01658675799086758,13.39708904109589,13.162100456621005,0.23493013698630136,0.21469463470319636
1984,8.658098360655739,51.703409836065575,0.010154826958105647,10.934585610200363,10.63778460837887,0.2320266393442623,0.21350956284153005
1985,9.438860273972603,53.81537534246575,0.013504566210045662,11.32271689497717,10.871518264840182,0.2341716894977169,0.20503139269406392
1986,9.528832876712329,53.785457534246575,0.014874429223744294,11.915673515981736,11.581518264840183,0.23681107305936075,0.20941164383561642
1987,8.670191780821918,57.51354520547945,0.019988584474885843,10.668687214611872,10.389634703196347,0.26605,0.23855764840182647
1988,10.258229508196722,54.14777049180328,0.02118624772313297,12.418943533697632,12.082809653916211,0.22473508652094717,0.20138900273224045
1989,10.40157808219178,55.74785753424658,0.011894977168949772,12.534897260273972,12.317283105022831,0.23304794520547945,0.21588470319634703
1990,10.484646575342465,54.45826849315068,0.018002283105022828,12.99958904109589,12.819885844748859,0.23067671232876713,0.2123744292237443
1991,10.091923287671234,53.950498630136984,0.014646118721461189,13.261906392694064,13.139634703196347,0.22691084474885845,0.2164917808219178
1992,9.455540983606557,55.70665573770492,0.013991347905282333,11.36749772313297,11.171186247723133,0.23810462204007285,0.22246231785063753
1993,8.12931506849315,55.39883835616438,0.017511415525114156,10.99453196347032,10.774189497716895,0.2327003424657534,0.21223881278538811
1994,8.640317808219178,54.78715616438356,0.01184931506849315,12.229703196347032,12.050856164383562,0.2220970319634703,0.20852180365296805
1995,11.221282191780821,51.033731506849314,0.015730593607305936,13.06082191780822,12.79027397260274,0.233875,0.21515296803652967
1996,8.64583606557377,48.793934426229505,0.013376593806921676,10.52242714025501,10.11582422586521,0.22701992258652096,0.20025056921675774
1997,10.847495890410958,49.651243835616434,0.015593607305936072,12.939783105022832,12.710102739726027,0.22794931506849314,0.1995146118721461
1998,9.678104109589041,52.711463013698626,0.014394977168949772,12.00917808219178,11.712077625570776,0.22249680365296806,0.20033070776255707
1999,10.800942465753426,51.28888767123287,0.013938356164383563,12.636495433789953,12.34228310502283,0.21755022831050227,0.18649098173515982
2000,10.77,51.77695081967213,0.01276183970856102,12.712386156648453,12.533834244080145,0.21875535063752277,0.19833959471766852
2001,10.533753424657535,52.13129863013698,0.014965753424657533,12.467899543378996,12.209440639269406,0.23490456621004568,0.21352031963470322
2002,10.924230136986303,53.29492602739726,0.019429223744292234,12.638310502283106,12.572168949771688,0.23821312785388127,0.2222769406392694
2003,10.108701369863013,52.381786301369864,0.021210045662100458,11.813059360730593,11.462031963470318,0.24465490867579912,0.21623242009132418
2004,11.70760655737705,50.742754098360656,0.01948998178506375,13.36974043715847,13.23094262295082,0.23070457650273224,0.21632980418943534
2005,11.637183561643836,48.38111780821918,0.010353881278538812,13.495342465753424,13.17049086757991,0.20845125570776254,0.1969582191780822
2006,11.161161643835618,48.79857534246575,0.016894977168949773,13.067602739726027,12.805901826484018,0.22090068493150683,0.20137751141552512
2007,11.29544109589041,51.15681095890411,0.013573059360730595,13.352625570776256,13.22087899543379,0.22385285388127854,0.20987146118721461
2008,11.007540983606557,51.003245901639346,0.014879326047358832,13.402276867030967,12.97438524590164,0.21184346539162113,0.1959408014571949
2009,10.78187397260274,51.14642191780822,0.012796803652968036,13.29812785388128,13.191221461187215,0.21964463470319634,0.20283162100456623
2010,11.549391780821917,46.31249315068493,0.0125,13.284143835616439,12.927876712328766,0.22430844748858447,0.2088293378995434
2011,9.926663013698631,48.583123287671235,0.011529680365296804,12.25216894977169,12.08724885844749,0.1957304794520548,0.17601621004566212
2012,10.735071038251366,47.79639344262295,0.011156648451730419,12.656010928961749,12.287795992714026,0.21172017304189436,0.1789938524590164
2013,12.01275616438356,50.53980273972603,0.014920091324200913,13.784246575342467,13.444760273972603,0.21132557077625572,0.19474737442922374
2014,9.655901369863015,49.03254794520548,0.011529680365296804,11.792157534246575,11.452568493150684,0.23115091324200915,0.20033447488584474
2015,11.444350684931507,51.910553424657536,0.02178082191780822,13.066415525114156,12.76650684931507,0.24168538812785387,0.22080639269406394
2016,11.778754098360656,52.4288087431694,0.018738615664845172,13.672131147540984,13.619956739526412,0.24325341530054642,0.22817816484517303
2017,10.370421917808219,52.08230136986301,0.018835616438356163,11.936621004566211,11.926084474885844,0.19569052511415524,0.17671244292237442
2018,9.331254794520548,50.70197260273972,0.013641552511415526,11.086952054794521,10.945456621004565,0.19848036529680366,0.17684999999999998
2019,11.268120547945205,50.370082191780824,0.018949771689497717,12.348344748858448,12.090684931506848,0.1892186073059361,0.1710071917808219
2020,10.881693989071039,48.61827322404372,0.015960837887067394,12.085484972677595,12.053756830601092,0.17428711293260474,0.18346288706739527
2021,11.70854794520548,45.32542465753425,0.00930365296803653,12.740410958904109,12.42197488584475,0.15771803652968036,0.1429706621004566
2022,11.61198904109589,50.22249863013698,0.020468036529680367,12.774554794520549,12.586723744292238,0.18802876712328767,0.1645442922374429
2023,12.53144109589041,49.10908493150685,0.02036529680365297,13.547100456621004,13.174269406392694,0.1819150684931507,0.16176312785388128
