year,temperature_2m,relative_humidity_2m,precipitation,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1980,7.987311475409835,59.5856612021858,0.07864298724954462,7.236566484517304,7.12634335154827,0.3309130236794171,0.31975182149362474
1981,7.591156164383562,60.82144657534246,0.08980593607305937,7.310148401826484,7.249212328767123,0.3543591324200913,0.34936552511415525
1982,7.8819616438356155,55.36576438356164,0.06285388127853882,7.5292808219178085,7.414577625570776,0.3268236301369863,0.32393196347031966
1983,8.731923287671233,54.57292054794521,0.06265981735159817,7.796210045662101,7.759977168949771,0.31499851598173517,0.30864863013698635
1984,6.694819672131147,54.286120218579235,0.05760473588342441,7.690403005464481,7.55620446265938,0.30155714936247724,0.29525079690346084
1985,7.640109589041096,54.7681205479452,0.06930365296803653,7.377511415525114,7.325639269406392,0.30724600456621004,0.3005912100456621
1986,8.002531506849316,55.99788493150685,0.06674657534246575,7.389668949771689,7.300091324200913,0.3217111872146119,0.31780456621004566
1987,8.105293150684933,60.387506849315066,0.09486301369863014,7.112648401826484,7.095159817351598,0.344046803652968,0.3418714611872146
1988,7.8188415300546446,60.64543169398907,0.07624089253187614,7.529269125683061,7.480623861566485,0.3442660519125683,0.33998394808743165
1989,7.321271232876713,57.834104109589035,0.06417808219178082,7.1803995433789956,7.105045662100456,0.32567294520547946,0.31984748858447487
1990,8.371123287671233,57.88078904109589,0.07,7.96142694063927,7.866621004566211,0.3187978310502283,0.3111214611872146
1991,8.215517808219179,54.63653698630137,0.04627853881278539,7.5598173515981735,7.462420091324201,0.30260593607305936,0.29153527397260276
1992,7.903344262295082,59.728415300546445,0.07946265938069216,6.658959471766849,6.639924863387978,0.33966905737704917,0.3340262978142077
1993,6.9711123287671235,61.04782465753425,0.09125570776255708,6.444680365296803,6.380913242009132,0.3575488584474886,0.35401027397260276
1994,7.327024657534247,58.22644383561644,0.07914383561643835,7.026860730593608,6.982340182648402,0.32958938356164386,0.3219232876712329
1995,7.773315068493151,56.16002191780822,0.05915525114155252,7.369200913242008,7.315810502283105,0.33292933789954343,0.32752157534246573
1996,6.608808743169399,59.288459016393446,0.07586520947176685,6.186714480874317,6.0950819672131145,0.3432700364298725,0.33754849726775954
1997,8.625369863013699,56.701786301369864,0.06595890410958903,8.218767123287671,8.093321917808218,0.30602568493150684,0.29745125570776254
1998,7.7404602739726025,60.472832876712324,0.09493150684931508,7.176609589041096,7.126141552511416,0.3438494292237443,0.34031529680365297
